Stage,Day,Time,Act
Main Stage,Friday 28th August,18:00 - 19:00,JADE
Main Stage,Friday 28th August,19:30 - 20:30,Zara Larsson
Main Stage,Friday 28th August,21:00 - 22:00,SOMBR
Main Stage,Friday 28th August,22:45 - 00:00,Lewis Capaldi
Main Stage,Saturday 29th August,14:00 - 15:00,City Stages ft Tinie Tempah
Main Stage,Saturday 29th August,17:30 - 18:30,Role Model
Main Stage,Saturday 29th August,19:15 - 20:15,The Mary Wallopers
Main Stage,Saturday 29th August,21:00 - 22:15,CMAT
Main Stage,Saturday 29th August,23:05 - 00:35,Gorillaz
Main Stage,Sunday 30th August,13:00 - 14:00,RTÉ Céili Mór
Main Stage,Sunday 30th August,14:45 - 15:30,James Marriott
Main Stage,Sunday 30th August,16:00 - 17:00,Van Morrison
Main Stage,Sunday 30th August,17:30 - 18:30,The Saw Doctors (Main Stage)
Main Stage,Sunday 30th August,19:00 - 20:00,Djo
Main Stage,Sunday 30th August,20:30 - 21:45,Amble
Main Stage,Sunday 30th August,22:30 - 00:00,Fontaines D.C.
Electric Arena,Friday 28th August,18:30 - 19:15,Gurriers
Electric Arena,Friday 28th August,19:45 - 20:45,Wunderhorse
Electric Arena,Friday 28th August,21:14 - 22:14,Wolf Alice
Electric Arena,Friday 28th August,22:45 - 00:00,Ben Hemsley
Electric Arena,Saturday 29th August,14:00 - 14:30,Violet Grohl
Electric Arena,Saturday 29th August,15:00 - 15:45,Jessie Murph
Electric Arena,Saturday 29th August,16:15 - 17:00,The Undertones
Electric Arena,Saturday 29th August,17:15 - 18:00,Kyla Cobbler
Electric Arena,Saturday 29th August,18:30 - 19:30,The Stunning
Electric Arena,Saturday 29th August,20:00 - 21:00,Damien Dempsey
Electric Arena,Saturday 29th August,21:30 - 23:00,Interplanetary Criminal
Electric Arena,Saturday 29th August,23:00 - 00:30,Duke Dumont
Electric Arena,Sunday 30th August,14:20 - 15:00,People I've Met
Electric Arena,Sunday 30th August,15:30 - 16:15,Rose Gray
Electric Arena,Sunday 30th August,16:45 - 17:30,Florence Road
Electric Arena,Sunday 30th August,18:00 - 18:45,Skye Newman
Electric Arena,Sunday 30th August,19:15 - 20:15,Mick Flannery
Electric Arena,Sunday 30th August,21:00 - 22:00,Skepta
Electric Arena,Sunday 30th August,22:30 - 00:00,Obskür
Rankins Wood,Friday 28th August,18:30 - 19:15,Darren Kiely
Rankins Wood,Friday 28th August,19:45 - 20:45,Men I Trust
Rankins Wood,Friday 28th August,21:30 - 22:30,JPEGMAFIA
Rankins Wood,Friday 28th August,23:00 - 00:00,Loyle Carner
Rankins Wood,Saturday 29th August,14:15 - 15:00,Nieve Ella
Rankins Wood,Saturday 29th August,15:30 - 16:15,Cliffords
Rankins Wood,Saturday 29th August,16:45 - 17:30,Audrey Hobert
Rankins Wood,Saturday 29th August,18:15 - 19:00,Aaron Rowe
Rankins Wood,Saturday 29th August,19:30 - 20:15,Oklou
Rankins Wood,Saturday 29th August,21:00 - 22:00,The Academic
Rankins Wood,Saturday 29th August,22:30 - 23:30,The Scratch
Rankins Wood,Sunday 30th August,14:00 - 14:30,Bleech 9:3
Rankins Wood,Sunday 30th August,15:00 - 15:30,Keo
Rankins Wood,Sunday 30th August,16:00 - 16:45,Tyler Ballgame
Rankins Wood,Sunday 30th August,17:15 - 18:00,Madra Salach
Rankins Wood,Sunday 30th August,18:30 - 19:15,ADÉLA
Rankins Wood,Sunday 30th August,19:50 - 20:30,Ravyn Lenae
Rankins Wood,Sunday 30th August,21:00 - 22:00,Geese
Rankins Wood,Sunday 30th August,22:30 - 23:30,Hermitage Green
Terminus,Friday 28th August,18:00 - 19:30,Faster Horses
Terminus,Friday 28th August,19:30 - 21:00,DART
Terminus,Friday 28th August,21:00 - 22:30,X Club.
Terminus,Saturday 29th August,16:39 - 17:30,E.T.C
Terminus,Saturday 29th August,17:30 - 18:30,Kayleigh Glynn
Terminus,Saturday 29th August,18:30 - 20:00,TWOFACED
Terminus,Saturday 29th August,20:00 - 21:30,Clouds
Terminus,Saturday 29th August,21:35 - 23:00,Belters Only
Terminus,Sunday 30th August,17:30 - 18:30,Derv
Terminus,Sunday 30th August,18:30 - 19:45,CamrinWatsin
Terminus,Sunday 30th August,19:45 - 21:00,EFFY
Terminus,Sunday 30th August,21:00 - 22:30,MALUGI
Comedy Arena,Friday 28th August,18:00 - 18:15,MC Damian Clark
Comedy Arena,Friday 28th August,18:15 - 18:35,Eric Lawlor
Comedy Arena,Friday 28th August,18:35 - 18:50,Ailish McCarthy
Comedy Arena,Friday 28th August,18:50 - 19:15,Fred Cooke
Comedy Arena,Friday 28th August,19:20 - 19:35,Ian Burke
Comedy Arena,Friday 28th August,19:35 - 19:50,Taran O'Sullivan
Comedy Arena,Friday 28th August,19:50 - 20:15,Martin Angolo
Comedy Arena,Friday 28th August,20:20 - 20:35,Louisa Ní Éideáin
Comedy Arena,Friday 28th August,20:35 - 20:50,Darren Gaffney
Comedy Arena,Friday 28th August,20:55 - 21:20,Diona Doherty
Comedy Arena,Friday 28th August,21:20 - 21:35,Steve Spade
Comedy Arena,Friday 28th August,21:35 - 22:10,Deirdre O'Kane
Comedy Arena,Saturday 29th August,14:00 - 14:15,MC Karl Spain
Comedy Arena,Saturday 29th August,14:15 - 14:35,Richie Bree
Comedy Arena,Saturday 29th August,14:35 - 14:45,Dame Stuffy
Comedy Arena,Saturday 29th August,14:45 - 15:05,Patrick McDonnell
Comedy Arena,Saturday 29th August,15:05 - 15:35,David McSavage
Comedy Arena,Saturday 29th August,15:35 - 15:55,Anna Clifford
Comedy Arena,Saturday 29th August,15:55 - 16:15,Breda Hegarty
Comedy Arena,Saturday 29th August,16:15 - 16:30,Sadhbh McLoughlin
Comedy Arena,Saturday 29th August,16:35 - 17:00,Bernard O'Shea
Comedy Arena,Saturday 29th August,17:00 - 17:25,Thomas Greene
Comedy Arena,Saturday 29th August,17:25 - 17:50,Willie White
Comedy Arena,Saturday 29th August,17:50 - 18:15,Paddy McDonnell
Comedy Arena,Saturday 29th August,18:15 - 18:40,Kevin McGahern
Comedy Arena,Saturday 29th August,18:45 - 19:10,Bernard Casey
Comedy Arena,Saturday 29th August,19:15 - 19:40,Enya Martin
Comedy Arena,Saturday 29th August,19:45 - 20:10,Emer Maguire
Comedy Arena,Saturday 29th August,20:15 - 20:40,Vittorio Angelone
Comedy Arena,Saturday 29th August,20:45 - 21:25,Mario Rosenstock
Comedy Arena,Sunday 30th August,13:55 - 14:10,MC Karl Spain
Comedy Arena,Sunday 30th August,14:10 - 14:35,Thomas Greene
Comedy Arena,Sunday 30th August,14:35 - 14:45,Michael Roche
Comedy Arena,Sunday 30th August,14:45 - 15:05,Paul Marsh
Comedy Arena,Sunday 30th August,15:05 - 15:20,Keith Fox
Comedy Arena,Sunday 30th August,15:20 - 15:40,Ger Staunton
Comedy Arena,Sunday 30th August,15:40 - 16:00,Sinéad Quinlan
Comedy Arena,Sunday 30th August,16:00 - 16:25,Alison Spittle
Comedy Arena,Sunday 30th August,16:25 - 16:50,Katie Boyle
Comedy Arena,Sunday 30th August,16:50 - 17:10,Simon Hennessey
Comedy Arena,Sunday 30th August,17:15 - 17:35,Owen Colgan
Comedy Arena,Sunday 30th August,17:40 - 18:00,John Colleary
Comedy Arena,Sunday 30th August,18:05 - 18:25,Aoife Dunne
Comedy Arena,Sunday 30th August,18:25 - 18:50,Michael Fry
Comedy Arena,Sunday 30th August,18:55 - 19:20,David Nihill
Comedy Arena,Sunday 30th August,19:25 - 19:50,Rachel Galvo
Comedy Arena,Sunday 30th August,19:50 - 20:15,Mike Rice
Comedy Arena,Sunday 30th August,20:20 - 20:50,Reggie Watts
